player,join_date,club
JOSKO GVARDIOL,"Aug 5, 2023",Man City
MANUEL AKANJI,"Sep 1, 2022",Man City
NATHAN AKÉ,"Aug 5, 2020",Man City
JOHN STONES,"Aug 9, 2016",Man City
SERGIO GÓMEZ,"Aug 16, 2022",Man City
RICO LEWIS,"Jul 1, 2022",Man City
KYLE WALKER,"Jul 14, 2017",Man City
RODRI,"Jul 4, 2019",Man City
MATHEUS NUNES,"Sep 1, 2023",Man City
MATEO KOVACIC,"Jul 1, 2023",Man City
BERNARDO SILVA,"Jul 1, 2017",Man City
KEVIN DE BRUYNE,"Aug 30, 2015",Man City
JACK GREALISH,"Aug 5, 2021",Man City
JÉRÉMY DOKU,"Aug 24, 2023",Man City
PHIL FODEN,"Jul 1, 2017",Man City
OSCAR BOBB,"Jul 1, 2023",Man City
JULIÁN ÁLVAREZ,"Jan 31, 2022",Man City
ERLING HAALAND,"Jul 1, 2022",Man City
THOMAS KAMINSKI,"Aug 3, 2023",Luton
TIM KRUL,"Aug 17, 2023",Luton
JAMES SHEA,"Jul 3, 2017",Luton
TEDEN MENGI,"Aug 31, 2023",Luton
TOM LOCKYER,"Sep 1, 2020",Luton
MADS ANDERSEN,"Jul 3, 2023",Luton
REECE BURKE,"Jul 1, 2021",Luton
GABRIEL OSHO,"Nov 18, 2020",Luton
AMARI'I BELL,"Jul 1, 2021",Luton
DAN POTTS,"Jul 1, 2015",Luton
ISSA KABORÉ,"Jul 21, 2023",Luton
DAIKI HASHIOKA,"Jan 30, 2024",Luton
MARVELOUS NAKAMBA,"Jul 20, 2023",Luton
PELLY RUDDOCK MPANZU,"Jan 28, 2014",Luton
ALBERT SAMBI LOKONGA,"Sep 1, 2023",Luton
ROSS BARKLEY,"Aug 9, 2023",Luton
JORDAN CLARK,"Aug 5, 2020",Luton
LUKE BERRY,"Aug 25, 2017",Luton
ELLIOT THORPE,"Sep 24, 2021",Luton
ALFIE DOUGHTY,"Jul 1, 2022",Luton
FRED ONYEDINMA,"Jul 1, 2021",Luton
TAHITH CHONG,"Jul 14, 2023",Luton
CHIEDOZIE OGBENE,"Jul 1, 2023",Luton
ANDROS TOWNSEND,"Oct 11, 2023",Luton
CARLTON MORRIS,"Jul 6, 2022",Luton
ELIJAH ADEBAYO,"Feb 1, 2021",Luton
JACOB BROWN,"Aug 10, 2023",Luton
CAULEY WOODROW,"Jul 1, 2022",Luton
